TS|CH0|CH1|CH2
2740|3.875|0.000|0.796
2750|3.877|0.000|0.821
2760|3.877|0.000|0.977
2770|3.877|0.000|0.972
2780|3.888|0.000|1.026
2790|3.877|0.000|1.153
2800|3.874|0.000|1.089
2810|3.906|0.000|1.168
2820|3.867|0.000|1.212
2830|3.877|0.000|1.251
2840|3.888|0.000|1.324
2850|3.886|0.000|1.363
2860|3.877|0.000|1.461
2870|3.879|0.000|1.461
2880|3.868|0.000|1.563
2890|3.891|0.000|1.597
2900|3.877|0.000|1.637
2910|3.899|0.000|1.778
2920|3.905|0.000|1.817
2930|3.907|0.000|1.754
2940|3.867|0.000|-3.933
2950|3.867|0.000|-3.840
2960|3.900|0.000|-3.742
2970|3.877|0.000|-3.718
2980|3.906|0.000|-3.635
2990|3.878|0.000|-3.571
3000|3.882|0.000|-3.542
3010|3.867|0.000|-3.532
3020|3.888|0.000|-3.381
3030|3.897|0.000|-3.395
3040|3.869|0.000|-3.312
3050|3.907|0.000|-3.244
3060|3.905|0.000|-3.175
3070|3.877|0.000|-3.122
3080|3.902|0.000|-3.117
3090|3.893|0.000|-3.087
3100|3.905|0.000|-3.024
3110|3.877|0.000|-2.970
3120|3.872|0.000|-2.907
3130|3.867|0.000|-2.868
3140|3.877|0.000|-2.824
3150|3.857|0.000|-2.736
3160|3.900|0.000|-2.687
3170|3.893|0.000|-2.609
3180|3.879|0.000|-2.550
3190|3.906|0.000|-2.535
3200|3.884|0.000|-2.467
3210|3.874|0.000|-2.418
3220|3.886|0.000|-2.413
3230|3.893|0.000|-2.340
3240|3.907|0.000|-2.320
3250|3.945|0.000|-2.301
3260|3.897|0.000|-2.203
3270|3.902|0.000|-2.130
3280|3.897|0.000|-2.101
3290|3.905|0.000|-2.003
3300|3.867|0.000|-2.047
3310|3.882|0.000|-1.944
3320|3.888|0.000|-1.876
3330|3.877|0.000|-1.832
3340|3.879|0.000|-1.793
3350|3.896|0.000|-1.764
3360|3.905|0.000|-1.715
3370|3.872|0.000|-1.578
3380|3.906|0.000|-1.553
3390|3.877|0.000|-1.495
3400|3.877|0.000|-1.441
3410|3.867|0.000|-1.402
3420|3.906|0.000|-1.348
3430|3.872|0.000|-1.270
3440|3.872|0.000|-1.255
3450|3.907|0.000|-1.163
3460|3.897|0.000|-1.168
3470|3.873|0.000|-1.128
3480|3.902|0.000|-1.045
3490|3.868|0.000|-0.938
3500|3.893|0.000|-1.031
3510|3.907|0.000|-0.982
3520|3.867|0.000|-0.957
3530|3.902|0.000|-0.904
3540|3.877|0.000|-0.777
3550|3.901|0.000|-0.772
3560|3.886|0.000|-0.674
3570|3.880|0.000|-0.699
3580|3.879|0.000|-0.591
3590|3.882|0.000|-0.523
3600|3.877|0.000|-0.562
3610|3.902|0.000|-0.459
3620|3.907|0.000|-0.386
3630|3.886|0.000|-0.386
3640|3.888|0.000|-0.264
3650|3.877|0.000|-0.259
3660|3.906|0.000|-0.205
3670|3.904|0.000|-0.083
3680|3.884|0.000|-0.132
3690|3.897|0.000|-0.024
3700|3.900|0.000|-0.112
3710|3.906|0.000|0.078
3720|3.877|0.000|0.142
3730|3.897|0.000|0.142
3740|3.877|0.000|0.210
3750|3.901|0.000|0.259
3760|3.879|0.000|0.318
3770|3.901|0.000|0.420
3780|3.888|0.000|0.386
3790|3.882|0.000|0.425
3800|3.867|0.000|0.523
3810|3.882|0.000|0.567
3820|3.897|0.000|0.625
3830|3.882|0.000|0.660
3840|3.902|0.000|0.699
3850|3.888|0.000|0.699
3860|3.867|0.000|0.821
3870|3.877|0.000|0.909
3880|3.871|0.000|0.894
3890|3.877|0.000|0.953
3900|3.906|0.000|1.085
3910|3.897|0.000|1.050
3920|3.910|0.000|1.089
3930|3.882|0.000|1.158
3940|3.906|0.000|1.251
3950|3.907|0.000|1.265
3960|3.891|0.000|1.383
3970|3.906|0.000|1.334
3980|3.910|0.000|1.490
3990|3.884|0.000|1.549
4000|3.897|0.000|1.558
4010|3.886|0.000|1.597
4020|3.877|0.000|1.720
4030|3.905|0.000|1.715
4040|3.889|0.000|1.754
4050|3.886|0.000|-3.898
4060|3.862|0.000|-3.859
4070|3.905|0.000|-3.771
4080|3.900|0.000|-3.747
4090|3.905|0.000|-3.727
4100|3.896|0.000|-3.639
4110|3.867|0.000|-3.610
4120|3.902|0.000|-3.532
4130|3.867|0.000|-3.498
4140|3.878|0.000|-3.439
4150|3.877|0.000|-3.400
4160|3.867|0.000|-3.298
4170|3.867|0.000|-3.258
4180|3.889|0.000|-3.205
4190|3.907|0.000|-3.170
4200|3.869|0.000|-3.117
4210|3.888|0.000|-3.000
4220|3.867|0.000|-3.043
4230|3.847|0.000|-2.985
4240|3.888|0.000|-2.882
4250|3.882|0.000|-2.853
4260|3.847|0.000|-2.726
4270|3.890|0.000|-2.750
4280|3.877|0.000|-2.677
4290|3.886|0.000|-2.672
4300|3.901|0.000|-2.531
4310|3.867|0.000|-2.516
4320|3.888|0.000|-2.487
4330|3.884|0.000|-2.491
4340|3.888|0.000|-2.404
4350|3.869|0.000|-2.389
4360|3.877|0.000|-2.257
4370|3.907|0.000|-2.272
4380|3.877|0.000|-2.218
4390|3.867|0.000|-2.140
4400|3.893|0.000|-2.032
4410|3.873|0.000|-2.022
4420|3.901|0.000|-2.027
4430|3.894|0.000|-1.930
4440|3.897|0.000|-1.710
4450|3.867|0.000|-1.847
4460|3.896|0.000|-1.832
4470|3.883|0.000|-1.759
4480|3.877|0.000|-1.715
4490|3.886|0.000|-1.666
4500|3.897|0.000|-1.597
4510|3.867|0.000|-1.544
4520|3.880|0.000|-1.480
4530|3.880|0.000|-1.397
